split,image_file,label_file,class_ids
train,DR-1_3191.jpg,DR-1_3191.txt,0;1;2;3;5
train,DR-2_18155_ylWREYy.jpg,DR-2_18155_ylWREYy.txt,0;1;2;3;4;5
train,DR-2_14971.jpg,DR-2_14971.txt,0;2
train,DR-2_205.jpg,DR-2_205.txt,0;1;2;3
train,DR-2_10176_YNrkA9n.jpg,DR-2_10176_YNrkA9n.txt,0;1;2;3;4
train,DR-1_1375.jpg,DR-1_1375.txt,0;3
train,DR-2_3823.jpg,DR-2_3823.txt,0;1;3;4
train,DR-2_757.jpg,DR-2_757.txt,0;1;2;3;5
train,DR-2_7796_Giz2Uwz.jpg,DR-2_7796_Giz2Uwz.txt,0;1;2;3
train,DR-2_1165_kdY0eKq.jpg,DR-2_1165_kdY0eKq.txt,0;1;2
train,DR-2_1271_Od0eRm8.jpg,DR-2_1271_Od0eRm8.txt,1;2;4;5
train,DR-2_13767_0anW2Ph.jpg,DR-2_13767_0anW2Ph.txt,0;1;2;3
train,DR-2_12310.jpg,DR-2_12310.txt,0;1;2;3;4
train,DR-1_941.jpg,DR-1_941.txt,1;2;3;4;5
train,DR-1_3535.jpg,DR-1_3535.txt,2;3
train,DR-2_18561.jpg,DR-2_18561.txt,0;1;2;3;5
train,DR-2_9432.jpg,DR-2_9432.txt,1;2;3
train,DR-2_7365.jpg,DR-2_7365.txt,1;2;3
train,DR-1_5470.jpg,DR-1_5470.txt,0;1;2;5
train,DR-1_5879.jpg,DR-1_5879.txt,2;3
train,DR-2_5491_dOglP7r.jpg,DR-2_5491_dOglP7r.txt,1;2;3
train,DR-1_5893.jpg,DR-1_5893.txt,2;3
train,DR-1_3177.jpg,DR-1_3177.txt,1;2;4;5
train,DR-1_8824.jpg,DR-1_8824.txt,0;1;2;3;4;5
train,DR-1_4643.jpg,DR-1_4643.txt,1;2;3
train,DR-1_8088.jpg,DR-1_8088.txt,1;2
train,DR-2_1818.jpg,DR-2_1818.txt,1;2
train,DR-2_13584_alX0H6f.jpg,DR-2_13584_alX0H6f.txt,0;1;2;3
train,DR-2_15727.jpg,DR-2_15727.txt,0;3
train,DR-2_15108_U8a1I5Z.jpg,DR-2_15108_U8a1I5Z.txt,1;2;5
train,DR-2_10654_6LeuIwm.jpg,DR-2_10654_6LeuIwm.txt,0;1;2;3
train,DR-2_9032.jpg,DR-2_9032.txt,1;2;4;5
train,DR-2_3850.jpg,DR-2_3850.txt,0;1;2;3;5
train,DR-1_4745.jpg,DR-1_4745.txt,0;1;2
train,DR-2_11037.jpg,DR-2_11037.txt,1;2
train,DR-1_7390.jpg,DR-1_7390.txt,0;1;2;3;5
train,DR-1_2631.jpg,DR-1_2631.txt,0;1;2;5
train,DR-2_12486_K6eSx3b.jpg,DR-2_12486_K6eSx3b.txt,1;2;3
train,DR-1_8573.jpg,DR-1_8573.txt,0;1;2
train,DR-2_13515.jpg,DR-2_13515.txt,1;2
train,DR-2_13942_9DXgDzF.jpg,DR-2_13942_9DXgDzF.txt,2;4
train,DR-1_7944.jpg,DR-1_7944.txt,1;2;5
train,DR-2_8351.jpg,DR-2_8351.txt,0;1;2;3;5
train,DR-2_20_2UpVNVc.jpg,DR-2_20_2UpVNVc.txt,0;1;2;3
train,DR-2_6368_qjwBMdR.jpg,DR-2_6368_qjwBMdR.txt,2
train,DR-1_3326.jpg,DR-1_3326.txt,0;1;2;3;4;5
train,DR-2_4384_KbvZp6Z.jpg,DR-2_4384_KbvZp6Z.txt,0;1;2;3
train,DR-2_11333_8OtIQYY.jpg,DR-2_11333_8OtIQYY.txt,1;2;3;5
train,DR-1_2491.jpg,DR-1_2491.txt,1;2;3;5
train,DR-1_6608.jpg,DR-1_6608.txt,1;2;5
train,DR-2_13032_3ansBkv.jpg,DR-2_13032_3ansBkv.txt,1;4;5
train,DR-1_1852.jpg,DR-1_1852.txt,0;1;2;3
train,DR-2_13733_qYtFEj2.jpg,DR-2_13733_qYtFEj2.txt,1;2;3
train,DR-2_18823.jpg,DR-2_18823.txt,0;1;2;3;4;5
train,DR-1_62.jpg,DR-1_62.txt,1;2;3
train,DR-2_9261.jpg,DR-2_9261.txt,0;1;2;3
train,DR-2_11013.jpg,DR-2_11013.txt,0;1;2;3
train,DR-2_14543_QBR101Q.jpg,DR-2_14543_QBR101Q.txt,0;2;3
train,DR-1_3541.jpg,DR-1_3541.txt,0;1;2;3;4;5
train,DR-2_12925.jpg,DR-2_12925.txt,2;3
train,DR-2_9281_QIIPL6L.jpg,DR-2_9281_QIIPL6L.txt,1;2;5
train,DR-2_19286.jpg,DR-2_19286.txt,0;2;3
train,DR-2_9670.jpg,DR-2_9670.txt,0;2;3
train,DR-2_16971.jpg,DR-2_16971.txt,0;2
train,DR-2_7907.jpg,DR-2_7907.txt,0;1;2;3;4;5
train,DR-2_11012.jpg,DR-2_11012.txt,1;2
train,DR-2_8988.jpg,DR-2_8988.txt,0;1;5
train,DR-2_7841.jpg,DR-2_7841.txt,0;1;2;3;4;5
train,DR-1_3321.jpg,DR-1_3321.txt,1;2;5
train,DR-1_7105.jpg,DR-1_7105.txt,0;1;2;4;5
train,DR-2_17485.jpg,DR-2_17485.txt,1;2;3
train,DR-2_6616_Cjj0QBn.jpg,DR-2_6616_Cjj0QBn.txt,1;2;3
train,DR-1_5882.jpg,DR-1_5882.txt,0;1;2;3;4;5
train,DR-1_6110.jpg,DR-1_6110.txt,0;1;2;4;5
train,DR-2_8418_wbzniMQ.jpg,DR-2_8418_wbzniMQ.txt,1;4;5
train,DR-2_15796.jpg,DR-2_15796.txt,0;1;2;3
train,DR-2_7499_boHW82j.jpg,DR-2_7499_boHW82j.txt,0;1;2;3;5
train,DR-2_9431_LEcazm6.jpg,DR-2_9431_LEcazm6.txt,1;2;5
train,DR-2_13876_Ukkmehn.jpg,DR-2_13876_Ukkmehn.txt,1;5
train,DR-2_5132.jpg,DR-2_5132.txt,0;1;2
train,DR-2_17589_ZlhuJrt.jpg,DR-2_17589_ZlhuJrt.txt,0;1;2;3;4;5
train,DR-2_2446_nluWIe4.jpg,DR-2_2446_nluWIe4.txt,0;1;2;3
train,DR-2_14589_EQX0QkS.jpg,DR-2_14589_EQX0QkS.txt,0;1;2;3;4
train,DR-2_19072_9COrFfg.jpg,DR-2_19072_9COrFfg.txt,0;1;2;3
train,DR-2_13502_0ntSmrL.jpg,DR-2_13502_0ntSmrL.txt,1;2;3;4
train,DR-1_2252.jpg,DR-1_2252.txt,0;1;2;4;5
train,DR-1_4157.jpg,DR-1_4157.txt,1;2;3
train,DR-2_11483.jpg,DR-2_11483.txt,1;2;4;5
train,DR-2_2818.jpg,DR-2_2818.txt,1;2;3;5
train,DR-2_12849_icBIY8n.jpg,DR-2_12849_icBIY8n.txt,0;1;2;3;4;5
train,DR-1_5642.jpg,DR-1_5642.txt,0;2
train,DR-2_2737_yyCESIc.jpg,DR-2_2737_yyCESIc.txt,0;1;2;3;5
train,DR-2_6720_HN0Pq2x.jpg,DR-2_6720_HN0Pq2x.txt,0;3
train,DR-2_13882.jpg,DR-2_13882.txt,0;1;2;3;4
train,DR-2_13340_XelKhCq.jpg,DR-2_13340_XelKhCq.txt,0;1;2;4;5
train,DR-2_3817_hmhR0hf.jpg,DR-2_3817_hmhR0hf.txt,0;1;5
train,DR-2_4966_heWi5N7.jpg,DR-2_4966_heWi5N7.txt,0;1;2;3
train,DR-2_11875.jpg,DR-2_11875.txt,0;1;2;3;4;5
train,DR-2_16501_tjnJCdf.jpg,DR-2_16501_tjnJCdf.txt,1;2;3
train,DR-2_13774.jpg,DR-2_13774.txt,1;2;3
train,DR-2_5185.jpg,DR-2_5185.txt,0;1;2;3;5
train,DR-2_3458_MXG29qS.jpg,DR-2_3458_MXG29qS.txt,1;2;3
train,DR-2_2188_ScqXTTe.jpg,DR-2_2188_ScqXTTe.txt,0;1;2;3;4;5
train,DR-2_9315_nSBwSE6.jpg,DR-2_9315_nSBwSE6.txt,1;2;4;5
train,DR-2_9870.jpg,DR-2_9870.txt,0;1;2;3
train,DR-2_19469.jpg,DR-2_19469.txt,0;1;3;4;5
train,DR-2_17243_X7tnL6l.jpg,DR-2_17243_X7tnL6l.txt,1;2;3
train,DR-2_18856.jpg,DR-2_18856.txt,0;1;2;3;5
train,DR-1_5481.jpg,DR-1_5481.txt,0;1;2;3
train,DR-2_18495_ZNBztVZ.jpg,DR-2_18495_ZNBztVZ.txt,1;2;3;4
train,DR-2_4643.jpg,DR-2_4643.txt,1;2;3
train,DR-1_7648.jpg,DR-1_7648.txt,0;1;2;3
train,DR-2_12568_mxkZ0HI.jpg,DR-2_12568_mxkZ0HI.txt,0;1;2;3;5
train,DR-1_3581.jpg,DR-1_3581.txt,0;1;2;3
train,DR-2_11229_irTFsP0.jpg,DR-2_11229_irTFsP0.txt,1;2;4;5
train,DR-2_12040.jpg,DR-2_12040.txt,1;2;3
train,DR-2_9521.jpg,DR-2_9521.txt,1;2;4;5
train,DR-2_16316_W0wg942.jpg,DR-2_16316_W0wg942.txt,0;1;2
train,DR-1_8315.jpg,DR-1_8315.txt,0;1;2;4;5
train,DR-2_3101_ibla8xe.jpg,DR-2_3101_ibla8xe.txt,0;1;2
train,DR-1_4853.jpg,DR-1_4853.txt,1;2;5
train,DR-1_7695.jpg,DR-1_7695.txt,1;2;4;5
train,DR-2_15588_EHx8M2Y.jpg,DR-2_15588_EHx8M2Y.txt,0;1;2;4;5
train,DR-1_737.jpg,DR-1_737.txt,0;1;3;5
train,DR-2_15082.jpg,DR-2_15082.txt,1;2;4;5
train,DR-2_12223.jpg,DR-2_12223.txt,0;1;2;3
train,DR-2_13373_guPkSJM.jpg,DR-2_13373_guPkSJM.txt,1;2;3
train,DR-1_1448.jpg,DR-1_1448.txt,0;1;2
train,DR-1_8692.jpg,DR-1_8692.txt,1;2;5
train,DR-2_11575_9ZydHAf.jpg,DR-2_11575_9ZydHAf.txt,1;2;3
train,DR-2_5570_aU4rLXd.jpg,DR-2_5570_aU4rLXd.txt,0;1;2;3;5
train,DR-2_1724_tykQGMR.jpg,DR-2_1724_tykQGMR.txt,0;1;2
train,DR-2_3311.jpg,DR-2_3311.txt,1;2;3;4;5
train,DR-2_15196.jpg,DR-2_15196.txt,2;3
train,DR-2_6475_addUnJA.jpg,DR-2_6475_addUnJA.txt,0;1;2;3
train,DR-2_4850_Icr0oVY.jpg,DR-2_4850_Icr0oVY.txt,1;2;3
train,DR-2_5582.jpg,DR-2_5582.txt,0;1;2;3;4
